date,provider,fuel_type,price_min,price_avg,station_count
2026-04-26,VIADA,petrol_95,1.707,1.707,11.0
2026-04-26,VIADA,petrol_98,1.812,1.812,11.0
2026-04-26,VIADA,diesel,1.894,1.894,11.0
2026-04-26,VIADA,cng,0.985,0.985,11.0
2026-04-27,Circle K,petrol_95,1.764,1.764,85.0
2026-04-27,Circle K,petrol_98,1.834,1.834,85.0
2026-04-27,Circle K,diesel,1.894,1.894,85.0
2026-04-27,Circle K,diesel_plus,2.024,2.024,85.0
2026-04-27,Neste,petrol_95,1.757,1.757,70.0
2026-04-27,Neste,petrol_98,1.827,1.827,70.0
2026-04-27,Neste,diesel,1.887,1.887,70.0
2026-04-27,Neste,diesel_plus,2.017,2.017,70.0
2026-04-27,Virši,petrol_95,1.774,1.774,1.0
2026-04-27,Virši,petrol_98,1.844,1.844,1.0
2026-04-27,Virši,diesel,1.904,1.904,1.0
2026-04-27,VIADA,petrol_95,1.707,1.707,11.0
2026-04-27,VIADA,petrol_98,1.812,1.812,11.0
2026-04-27,VIADA,diesel,1.894,1.894,11.0
2026-04-27,VIADA,cng,0.985,0.985,11.0
2026-04-28,Circle K,petrol_95,1.764,1.764,85.0
2026-04-28,Circle K,petrol_98,1.834,1.834,85.0
2026-04-28,Circle K,diesel,1.894,1.894,85.0
2026-04-28,Circle K,diesel_plus,2.024,2.024,85.0
2026-04-28,Neste,petrol_95,1.757,1.757,70.0
2026-04-28,Neste,petrol_98,1.827,1.827,70.0
2026-04-28,Neste,diesel,1.887,1.887,70.0
2026-04-28,Neste,diesel_plus,2.017,2.017,70.0
2026-04-28,Virši,petrol_95,1.774,1.774,1.0
2026-04-28,Virši,petrol_98,1.844,1.844,1.0
2026-04-28,Virši,diesel,1.924,1.924,1.0
2026-04-28,VIADA,petrol_95,1.687,1.687,11.0
2026-04-28,VIADA,petrol_98,1.792,1.792,11.0
2026-04-28,VIADA,diesel,1.894,1.894,11.0
2026-04-28,VIADA,cng,0.985,0.985,11.0
2026-04-29,Circle K,petrol_95,1.734,1.734,85.0
2026-04-29,Circle K,petrol_98,1.804,1.804,85.0
2026-04-29,Circle K,diesel,1.894,1.894,85.0
2026-04-29,Circle K,diesel_plus,2.024,2.024,85.0
2026-04-29,Neste,petrol_95,1.717,1.717,70.0
2026-04-29,Neste,petrol_98,1.787,1.787,70.0
2026-04-29,Neste,diesel,1.877,1.877,70.0
2026-04-29,Neste,diesel_plus,1.997,1.997,70.0
2026-04-29,Virši,petrol_95,1.717,1.717,1.0
2026-04-29,Virši,petrol_98,1.787,1.787,1.0
2026-04-29,Virši,diesel,1.877,1.877,1.0
2026-04-29,VIADA,petrol_95,1.687,1.687,11.0
2026-04-29,VIADA,petrol_98,1.792,1.792,11.0
2026-04-29,VIADA,diesel,1.904,1.904,11.0
2026-04-29,VIADA,cng,0.985,0.985,11.0
2026-04-30,Circle K,petrol_95,1.814,1.814,85.0
2026-04-30,Circle K,petrol_98,1.884,1.884,85.0
2026-04-30,Circle K,diesel,1.954,1.954,85.0
2026-04-30,Circle K,diesel_plus,2.084,2.084,85.0
2026-04-30,Neste,petrol_95,1.767,1.767,70.0
2026-04-30,Neste,petrol_98,1.837,1.837,70.0
2026-04-30,Neste,diesel,1.907,1.907,70.0
2026-04-30,Neste,diesel_plus,2.037,2.037,70.0
2026-04-30,Virši,petrol_95,1.797,1.797,1.0
2026-04-30,Virši,petrol_98,1.897,1.897,1.0
2026-04-30,Virši,diesel,1.867,1.867,1.0
2026-04-30,VIADA,petrol_95,1.687,1.687,11.0
2026-04-30,VIADA,petrol_98,1.792,1.792,11.0
2026-04-30,VIADA,diesel,1.907,1.907,11.0
2026-04-30,VIADA,cng,0.985,0.985,11.0
2026-05-01,Circle K,petrol_95,1.814,1.814,85.0
2026-05-01,Circle K,petrol_98,1.884,1.884,85.0
2026-05-01,Circle K,diesel,1.954,1.954,85.0
2026-05-01,Circle K,diesel_plus,2.084,2.084,85.0
2026-05-01,Neste,petrol_95,1.767,1.767,70.0
2026-05-01,Neste,petrol_98,1.837,1.837,70.0
2026-05-01,Neste,diesel,1.907,1.907,70.0
2026-05-01,Neste,diesel_plus,2.037,2.037,70.0
2026-05-01,Virši,petrol_95,1.797,1.797,1.0
2026-05-01,Virši,petrol_98,1.897,1.897,1.0
2026-05-01,Virši,diesel,1.867,1.867,1.0
2026-05-01,VIADA,petrol_95,1.687,1.687,11.0
2026-05-01,VIADA,petrol_98,1.792,1.792,11.0
2026-05-01,VIADA,diesel,1.917,1.917,11.0
2026-05-01,VIADA,cng,0.985,0.985,11.0
2026-05-02,Circle K,petrol_95,1.814,1.814,85.0
2026-05-02,Circle K,petrol_98,1.884,1.884,85.0
2026-05-02,Circle K,diesel,1.954,1.954,85.0
2026-05-02,Circle K,diesel_plus,2.084,2.084,85.0
2026-05-02,Neste,petrol_95,1.767,1.767,70.0
2026-05-02,Neste,petrol_98,1.837,1.837,70.0
2026-05-02,Neste,diesel,1.907,1.907,70.0
2026-05-02,Neste,diesel_plus,2.037,2.037,70.0
2026-05-02,Virši,petrol_95,1.797,1.797,1.0
2026-05-02,Virši,petrol_98,1.897,1.897,1.0
2026-05-02,Virši,diesel,1.867,1.867,1.0
2026-05-02,VIADA,petrol_95,1.687,1.687,11.0
2026-05-02,VIADA,petrol_98,1.792,1.792,11.0
2026-05-02,VIADA,diesel,1.917,1.917,11.0
2026-05-02,VIADA,cng,0.985,0.985,11.0
2026-05-03,Circle K,petrol_95,1.814,1.814,85.0
2026-05-03,Circle K,petrol_98,1.884,1.884,85.0
2026-05-03,Circle K,diesel,1.954,1.954,85.0
2026-05-03,Circle K,diesel_plus,2.084,2.084,85.0
2026-05-03,Neste,petrol_95,1.767,1.767,70.0
2026-05-03,Neste,petrol_98,1.837,1.837,70.0
2026-05-03,Neste,diesel,1.907,1.907,70.0
2026-05-03,Neste,diesel_plus,2.037,2.037,70.0
2026-05-03,Virši,petrol_95,1.797,1.797,1.0
2026-05-03,Virši,petrol_98,1.897,1.897,1.0
2026-05-03,Virši,diesel,1.867,1.867,1.0
2026-05-03,VIADA,petrol_95,1.717,1.717,11.0
2026-05-03,VIADA,petrol_98,1.822,1.822,11.0
2026-05-03,VIADA,diesel,1.917,1.917,11.0
2026-05-03,VIADA,cng,0.985,0.985,11.0
2026-05-04,Circle K,petrol_95,1.814,1.814,85.0
2026-05-04,Circle K,petrol_98,1.884,1.884,85.0
2026-05-04,Circle K,diesel,1.954,1.954,85.0
2026-05-04,Circle K,diesel_plus,2.084,2.084,85.0
2026-05-04,Neste,petrol_95,1.767,1.767,70.0
2026-05-04,Neste,petrol_98,1.837,1.837,70.0
2026-05-04,Neste,diesel,1.907,1.907,70.0
2026-05-04,Neste,diesel_plus,2.037,2.037,70.0
2026-05-04,Virši,petrol_95,1.797,1.797,1.0
2026-05-04,Virši,petrol_98,1.897,1.897,1.0
2026-05-04,Virši,diesel,1.867,1.867,1.0
2026-05-04,VIADA,petrol_95,1.717,1.717,11.0
2026-05-04,VIADA,petrol_98,1.822,1.822,11.0
2026-05-04,VIADA,diesel,1.917,1.917,11.0
2026-05-04,VIADA,cng,0.985,0.985,11.0
2026-05-05,Circle K,petrol_95,1.814,1.814,85.0
2026-05-05,Circle K,petrol_98,1.884,1.884,85.0
2026-05-05,Circle K,diesel,1.954,1.954,85.0
2026-05-05,Circle K,diesel_plus,2.084,2.084,85.0
2026-05-05,Neste,petrol_95,1.797,1.797,70.0
2026-05-05,Neste,petrol_98,1.867,1.867,70.0
2026-05-05,Neste,diesel,1.937,1.937,70.0
2026-05-05,Neste,diesel_plus,2.067,2.067,70.0
2026-05-05,Virši,petrol_95,1.797,1.797,1.0
2026-05-05,Virši,petrol_98,1.897,1.897,1.0
2026-05-05,Virši,diesel,1.867,1.867,1.0
2026-05-05,VIADA,petrol_95,1.717,1.717,11.0
2026-05-05,VIADA,petrol_98,1.822,1.822,11.0
2026-05-05,VIADA,diesel,1.917,1.917,11.0
2026-05-05,VIADA,cng,0.985,0.985,11.0
2026-05-06,Circle K,petrol_95,1.774,1.774,85.0
2026-05-06,Circle K,petrol_98,1.884,1.884,85.0
2026-05-06,Circle K,diesel,1.904,1.904,85.0
2026-05-06,Circle K,diesel_plus,2.034,2.034,85.0
2026-05-06,Neste,petrol_95,1.717,1.717,70.0
2026-05-06,Neste,petrol_98,1.777,1.777,70.0
2026-05-06,Neste,diesel,1.887,1.887,70.0
2026-05-06,Neste,diesel_plus,1.997,1.997,70.0
2026-05-06,Virši,petrol_95,1.717,1.717,1.0
2026-05-06,Virši,petrol_98,1.787,1.787,1.0
2026-05-06,Virši,diesel,1.887,1.887,1.0
2026-05-06,VIADA,petrol_95,1.747,1.747,11.0
2026-05-06,VIADA,petrol_98,1.852,1.852,11.0
2026-05-06,VIADA,diesel,1.947,1.947,11.0
2026-05-06,VIADA,cng,0.985,0.985,11.0
2026-05-07,Circle K,petrol_95,1.774,1.774,85.0
2026-05-07,Circle K,petrol_98,1.884,1.884,85.0
2026-05-07,Circle K,diesel,1.904,1.904,85.0
